"strain" "hours_to_starve" "block" "type"
"A_QG3463" 133.233333333333 "A8" "RIL"
"A_QG3344" 116.466666666667 "A8" "RIL"
"A_QG3335" 130.2 "A8" "RIL"
"A_QG3470" 132.216666666667 "A8" "RIL"
"A_QG3111" 99.1833333333333 "A8" "RIL"
"A_QG3205" 113.883333333333 "A9" "RIL"
"A_QG3409" 104.9 "A9" "RIL"
"A_QG3385" 113.516666666667 "A9" "RIL"
"A_QG3248" 118.833333333333 "A9" "RIL"
"A_QG3138" 104.016666666667 "A9" "RIL"
"A_QG3380" 98.5333333333333 "A9" "RIL"
"A_QG3102" 108.55 "A9" "RIL"
"A_QG3087" 92.7333333333333 "A9" "RIL"
"A_QG3322" 103.466666666667 "A9" "RIL"
"A_QG3410" 148.75 "A9" "RIL"
"A_QG3213" 164.866666666667 "A9" "RIL"
"A_QG3136" 98.9833333333333 "A9" "RIL"
"A_QG3110" 108 "A9" "RIL"
"A_QG3129" 155.616666666667 "A9" "RIL"
"A_QG3232" 100.983333333333 "A9" "RIL"
"A_QG3208" 174 "A9" "RIL"
"A_QG3473" 100.616666666667 "A9" "RIL"
"A_QG3140" 116 "A9" "RIL"
"A_QG3248" 109.816666666667 "A9" "RIL"
"A_QG3138" 100 "A9" "RIL"
"A_QG3139" 110.266666666667 "A9" "RIL"
"A_QG3331" 102.75 "A9" "RIL"
"A_QG3102" 145.5 "A9" "RIL"
"A_QG3127" 122.233333333333 "A9" "RIL"
"A_QG3261" 115.766666666667 "A9" "RIL"
"A_QG3322" 99.4333333333333 "A9" "RIL"
"A_QG3116" 137.083333333333 "A9" "RIL"
"A_QG3213" 159.833333333333 "A9" "RIL"
"A_QG3136" 106.95 "A9" "RIL"
"A_QG3334" 119.3 "A9" "RIL"
"A_QG3205" 110.183333333333 "A9" "RIL"
"A_QG3409" 108.2 "A9" "RIL"
"A_QG3140" 184.95 "A9" "RIL"
"A_QG3248" 98.7666666666667 "A9" "RIL"
"A_QG3087" 113.666666666667 "A9" "RIL"
"A_QG3139" 142.25 "A9" "RIL"
"A_QG3331" 131.733333333333 "A9" "RIL"
"A_QG3261" 106.733333333333 "A9" "RIL"
"A_QG3102" 125.65 "A9" "RIL"
"A_QG3205" 157.15 "A9" "RIL"
"A_QG3322" 99.5833333333333 "A9" "RIL"
"A_QG3334" 190 "A9" "RIL"
"A_QG3331" 114.683333333333 "A9" "RIL"
"A_QG3116" 169.95 "A9" "RIL"
"A_QG3138" 101.016666666667 "A9" "RIL"
"A_QG3087" 100.683333333333 "A9" "RIL"
"A_QG3140" 221.016666666667 "A9" "RIL"
"A_QG3261" 103.683333333333 "A9" "RIL"
"A_QG3409" 251.016666666667 "A9" "RIL"
"A_QG3473" 127.433333333333 "A9" "RIL"
"A_QG3136" 114.916666666667 "A9" "RIL"
"A_QG3139" 182.383333333333 "A9" "RIL"
