"strain" "block" "scaled_mean_worm_length_um_f" "scaled_mean_worm_length_um_m" "mean_worm_length_um_f" "mean_worm_length_um_m" "scaled_SE_f" "scaled_SE_m" "SE_f" "SE_m" "weight_f" "weight_m" "conv" "div" "SE_rotated" "weight_rotated"
"QG3301" "E" 1.40577712035163 0.648738597444515 1039.25005558685 773.909599527048 0.0833897505181073 0.286871449215497 6.36134732937919 10.916148817299 0.554917071165612 0.578941454043664 1.1494822792622 0.210012099232116 0.211245211622029 22.409194866787
"QG3312" "E" 1.92992037376201 -0.0885069698688267 1079.23407358161 745.855631975747 0.120825271700203 0.410745199276346 9.21709820063203 15.6298430309234 0.264324776502238 0.282399751335032 1.00110141977195 1.11118365854307 0.302746069346898 10.9104577904854
"QG3316" "E" 1.64163060940205 1.26594661138589 1057.24202646306 797.395849378118 0.216951747622541 0.281042372041585 16.5500605502246 10.6943384068452 0.0819836271720866 0.603206062418418 1.7581850004209 -0.0599505696180088 0.251050667873275 15.8663575838553
"QG3321" "B" 1.20150753726129 1.03414474042303 1023.66744790675 788.575230503431 0.0668175795029386 0.283885226510464 5.09714717079415 10.8025158589168 0.864314813302521 0.591185424020724 1.27712775231126 -0.211011646657676 0.206222465751829 23.514083138196
"QG3324" "A" 0.11541347447161 -1.04260742480093 940.815280549788 709.54981422646 0.0905184600915408 1.01226701695534 6.90515753776966 38.5191953753022 0.470954683643631 0.0464963786835837 -0.981058889701833 0.487293218229069 0.718636940754163 1.93633691126488
"QG3327" "D" -1.87467028173033 -1.22496530545366 789.002690763862 702.610658138755 0.0391525088661211 0.463301801040621 2.98673045747886 17.6297481722655 2.5172957427157 0.221963377867962 -2.53997224238841 -0.812013073781635 0.32877156035612 9.25148639176592
"QG3331" "G" -0.0660208188522848 -1.98328149974763 926.974652053806 673.754902537707 0.0785333386492935 0.295081539739883 5.99087826717309 11.2285625141405 0.625669972968919 0.547173707109865 -1.78092760216153 1.02658040501981 0.215917345730565 21.4498833336924
"QG3333" "B" 1.23758740044618 0.958929061244267 1026.41978305453 785.713092951734 0.05120133524573 0.355032252713168 3.90586942882565 13.5098313762361 1.47194255369339 0.377984234564123 1.24949824659729 -0.13156312909979 0.253642935243161 15.54370192186
"QG3334" "B" -0.770045802319263 -0.269097624308332 873.268442111118 738.983723097167 0.0460133199284278 0.378035684857681 3.51010415577411 14.3851673125408 1.82257872203231 0.333383197715488 -1.06633151826483 -0.699158065136746 0.269284426431099 13.7904210081806
"QG3334" "G" 1.09333005091637 -0.245439978184364 1015.41517997714 739.883953449342 0.0948294192437412 0.211425121907571 7.23401699974824 8.0452345493779 0.429108633821455 1.06585008202382 0.28862707277654 0.622121191889722 0.163849322439454 37.2486639917728
"QG3335" "D" 0.465852760611893 0.481509733162246 967.5483742831 767.546138910646 0.0577766173727355 0.111879034539436 4.40746168852978 4.25726643034034 1.15597704728179 3.80637771773459 0.355473509970967 -0.345927474688507 0.089036666279999 126.142727882386
"QG3336" "C" 1.15441336830481 1.24992698330185 1020.07489169859 796.78626398842 0.0724981758532641 0.251798557756921 5.53048875291793 9.58154091657621 0.73417446576777 0.751454735854509 1.39690391327833 -0.398425904987557 0.185281541431569 29.1296783876724
"QG3337" "B" 0.710732093256306 0.246849072871659 986.228877331247 758.616736224171 0.0637253071559283 0.275612536898672 4.86125465026076 10.4877201161944 0.950231798644536 0.627207676460391 0.364292143095128 -0.00304286066873255 0.200028979485273 24.9927567030224
"QG3337" "G" 1.22723670153199 1.68210107576429 1025.63018492663 813.231527960149 0.0723501536354057 0.125985380576666 5.51919694865647 4.79404683505408 0.737181655006101 3.00171183707103 1.75682381276651 -0.653754688160351 0.102729890611531 94.7559191394012
"QG3344" "D" -0.343313879179526 -0.91111683163277 905.821483255381 714.553347645432 0.0439628939716698 0.198863175263755 3.35368839001067 7.5672222572036 1.99655320513642 1.20476006492884 -1.21688221069569 0.0642781714006704 0.144012670488307 48.2168231201521
