rilname,panel,lib,file1,file2
QG3266,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3266.fastq.gz,H2L2LDSXC_l02_n02_A_QG3266.fastq.gz
QG3267,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3267.fastq.gz,H2L2LDSXC_l02_n02_A_QG3267.fastq.gz
QG3268,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3268.fastq.gz,H2L2LDSXC_l02_n02_B_QG3268.fastq.gz
QG3269,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3269.fastq.gz,H2L2LDSXC_l02_n02_B_QG3269.fastq.gz
QG3270,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3270.fastq.gz,H2L2LDSXC_l02_n02_B_QG3270.fastq.gz
QG3271,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3271.fastq.gz,H2L2LDSXC_l02_n02_B_QG3271.fastq.gz
QG3272,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3272.fastq.gz,H2L2LDSXC_l02_n02_B_QG3272.fastq.gz
QG3273,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3273.fastq.gz,H2L2LDSXC_l02_n02_B_QG3273.fastq.gz
QG3274,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3274.fastq.gz,H2L2LDSXC_l02_n02_B_QG3274.fastq.gz
QG3275,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3275.fastq.gz,H2L2LDSXC_l02_n02_B_QG3275.fastq.gz
QG3276,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3276.fastq.gz,H2L2LDSXC_l02_n02_B_QG3276.fastq.gz
QG3277,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3277.fastq.gz,H2L2LDSXC_l02_n02_B_QG3277.fastq.gz
QG3278,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3278.fastq.gz,H2L2LDSXC_l02_n02_B_QG3278.fastq.gz
QG3280,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3280.fastq.gz,H2L2LDSXC_l02_n02_B_QG3280.fastq.gz
QG3281,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3281.fastq.gz,H2L2LDSXC_l02_n02_B_QG3281.fastq.gz
QG3282,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3282.fastq.gz,H2L2LDSXC_l02_n02_B_QG3282.fastq.gz
QG3283,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3283.fastq.gz,H2L2LDSXC_l02_n02_B_QG3283.fastq.gz
QG3284,beta,H53C5BGXJ,H53C5BGXJ_n01_3QG3284.fastq.gz,H53C5BGXJ_n02_3QG3284.fastq.gz
QG3285,beta,HMT3KBGX7,HMT3KBGX7_n01_QG3285.fastq.gz,HMT3KBGX7_n02_QG3285.fastq.gz
QG3288,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3288.fastq.gz,H2L2LDSXC_l03_n02_B_QG3288.fastq.gz
QG3289,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3289.fastq.gz,H2L2LDSXC_l03_n02_B_QG3289.fastq.gz
QG3290,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3290.fastq.gz,H2L2LDSXC_l03_n02_B_QG3290.fastq.gz
QG3292,beta,HFTY3DMXY,HFTY3DMXY_n01_BCi.QG3292.fastq.gz,HFTY3DMXY_n02_BCi.QG3292.fastq.gz
QG3294,beta,HFTY3DMXY,HFTY3DMXY_n01_BCi.QG3294.fastq.gz,HFTY3DMXY_n02_BCi.QG3294.fastq.gz
QG3295,beta,HFTY3DMXY,HFTY3DMXY_n01_BCi.QG3295.fastq.gz,HFTY3DMXY_n02_BCi.QG3295.fastq.gz
QG3296,beta,HFTY3DMXY,HFTY3DMXY_n01_BCi.QG3296.fastq.gz,HFTY3DMXY_n02_BCi.QG3296.fastq.gz
QG3297,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3297.fastq.gz,H2L2LDSXC_l03_n02_B_QG3297.fastq.gz
QG3298,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3298.fastq.gz,H2L2LDSXC_l03_n02_B_QG3298.fastq.gz
QG3300,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3300.fastq.gz,H2L2LDSXC_l03_n02_B_QG3300.fastq.gz
QG3301,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3301.fastq.gz,H2L2LDSXC_l03_n02_B_QG3301.fastq.gz
QG3302,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3302.fastq.gz,H2L2LDSXC_l03_n02_B_QG3302.fastq.gz
QG3304,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3304.fastq.gz,H2L2LDSXC_l03_n02_B_QG3304.fastq.gz
QG3305,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3305.fastq.gz,H2L2LDSXC_l03_n02_B_QG3305.fastq.gz
QG3306,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3306.fastq.gz,H2L2LDSXC_l03_n02_B_QG3306.fastq.gz
QG3307,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3307.fastq.gz,H2L2LDSXC_l03_n02_B_QG3307.fastq.gz
QG3308,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3308.fastq.gz,H2L2LDSXC_l03_n02_B_QG3308.fastq.gz
QG3309,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3309.fastq.gz,H2L2LDSXC_l03_n02_B_QG3309.fastq.gz
QG3310,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3310.fastq.gz,H2L2LDSXC_l03_n02_B_QG3310.fastq.gz
QG3312,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3312.fastq.gz,H2L2LDSXC_l03_n02_B_QG3312.fastq.gz
QG3314,beta,H2L2LDSXC,H2L2LDSXC_l03_n01_B_QG3314.fastq.gz,H2L2LDSXC_l03_n02_B_QG3314.fastq.gz
