outdir,nCO,nHet,sizeHetall,sizeHet_het,nGoutcross,cross,N
output/panelA_N400_nGoutcross6_nloci500,24.577623929479238,65,1.0686708860759495,2.597692307692308,6,A,400
output/panelA_N400_nGoutcross6_nloci500,23.79583881051316,60,0.9300632911392406,2.4491666666666667,6,A,400
output/panelA_N400_nGoutcross6_nloci500,24.143089654999173,64,1.0151898734177216,2.50625,6,A,400
output/panelA_N400_nGoutcross6_nloci500,24.083153131989288,62,1.2613924050632912,3.2145161290322584,6,A,400
output/panelA_N400_nGoutcross6_nloci500,24.39720979953116,60,1.1148734177215192,2.9358333333333335,6,A,400
output/panelA_N400_nGoutcross6_nloci500,23.96371824437292,61,0.9705696202531646,2.5139344262295085,6,A,400
output/panelA_N400_nGoutcross6_nloci500,24.015221514415277,54,1.3661392405063293,3.9972222222222222,6,A,400
output/panelA_N400_nGoutcross6_nloci500,24.479203476217524,70,1.129746835443038,2.5500000000000003,6,A,400
output/panelA_N400_nGoutcross6_nloci500,23.61837857475646,64,0.9025316455696203,2.2281250000000004,6,A,400
output/panelA_N400_nGoutcross7_nloci500,26.323145411536615,65,1.1477848101265824,2.79,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.05698817067526,56,1.0658227848101267,3.007142857142857,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.27855919285984,72,1.2984177215189874,2.8493055555555555,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.31193411068077,55,0.9348101265822786,2.6854545454545455,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.224054055140698,52,1.0018987341772152,3.0442307692307695,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.197760532390514,72,1.1246835443037975,2.468055555555556,7,A,400
output/panelA_N400_nGoutcross7_nloci500,24.59474448174638,62,1.384493670886076,3.528225806451613,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.83701624968176,60,0.8515822784810128,2.2425,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.534941541535773,71,1.2803797468354432,2.8492957746478873,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.46672949571583,63,0.8829113924050633,2.2142857142857144,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.282443442911905,57,1.1237341772151899,3.1149122807017546,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.546882558029964,56,1.0727848101265824,3.0267857142857144,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.155591754161804,56,1.174367088607595,3.3133928571428575,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.44148664498983,60,1.4079113924050635,3.7075,7,A,400
output/panelA_N400_nGoutcross7_nloci500,24.86413340270866,58,1.0246835443037976,2.7913793103448277,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.805467632176512,55,0.8354430379746836,2.4,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.235017664199695,62,1.2382911392405065,3.1556451612903227,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.873623397979728,75,1.4047468354430381,2.9593333333333334,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.492239317864378,63,1.2110759493670886,3.0373015873015876,7,A,400
output/panelA_N400_nGoutcross7_nloci500,25.765183757839903,67,1.1265822784810127,2.656716417910448,7,A,400
