gpos1,gpos2,mean.r2,nobs,chrom,panel,domain
2.4000000000000004,2.5,0.31757164369356106,2915909,II,α,arm&center
2.5,2.6,0.3006596504225907,2097717,II,α,arm&center
2.6,2.7,0.30213416202086396,1787055,II,α,arm&center
2.7,2.8000000000000003,0.2972595575143465,1779571,II,α,arm&center
2.8000000000000003,2.9000000000000004,0.2926932224716377,1852471,II,α,arm&center
2.9000000000000004,3,0.2843828623466977,1871309,II,α,arm&center
3,3.1,0.28069188090931685,1839209,II,α,arm&center
3.1,3.2,0.26382791082635954,1607824,II,α,arm&center
3.2,3.3000000000000003,0.2660358114907244,1836692,II,α,arm&center
3.3000000000000003,3.4000000000000004,0.290367467217417,1968233,II,α,arm&center
3.4000000000000004,3.5,0.3146610637077828,2204755,II,α,arm&center
3.5,3.6,0.32221107086291634,2413180,II,α,arm&center
3.6,3.7,0.3093517833563455,2740128,II,α,arm&center
3.7,3.8000000000000003,0.3053378740810752,3167067,II,α,arm&center
3.8000000000000003,3.9000000000000004,0.30541377622935,3094069,II,α,arm&center
3.9000000000000004,4,0.2968470831826667,3012376,II,α,arm&center
4,4.1000000000000005,0.28530048441154454,2862312,II,α,arm&center
4.1000000000000005,4.2,0.28268488011021775,2788410,II,α,arm&center
4.2,4.3,0.2786392835012205,2655660,II,α,arm&center
4.3,4.4,0.27968499005073755,2438319,II,α,arm&center
4.4,4.5,0.27330834833823,2259387,II,α,arm&center
4.5,4.6000000000000005,0.25516058551249854,2229674,II,α,arm&center
4.6000000000000005,4.7,0.24386823611718422,2111603,II,α,arm&center
4.7,4.800000000000001,0.23412099819790547,1973004,II,α,arm&center
4.800000000000001,4.9,0.2287729840428324,1726541,II,α,arm&center
4.9,5,0.22092236473557567,1706005,II,α,arm&center
0,0.1,0.5853161887006794,29664410,II,α,center
0.1,0.2,0.541936898655157,23309233,II,α,center
0.2,0.30000000000000004,0.5124488896794749,19607673,II,α,center
0.30000000000000004,0.4,0.5041202730598303,16007769,II,α,center
0.4,0.5,0.4755337638168904,12289183,II,α,center
0.5,0.6000000000000001,0.4635183191709656,6837764,II,α,center
0.6000000000000001,0.7000000000000001,0.46419128823411254,7279527,II,α,center
0.7000000000000001,0.8,0.43934791718363836,8102676,II,α,center
0.8,0.9,0.4083140446706536,8775989,II,α,center
0.9,1,0.39725189750794176,9124122,II,α,center
1,1.1,0.37601678947887296,9726859,II,α,center
1.1,1.2000000000000002,0.3449742472040378,7824043,II,α,center
1.2000000000000002,1.3,0.3140419732626854,6414960,II,α,center
1.3,1.4000000000000001,0.31927009812353263,4924603,II,α,center
1.4000000000000001,1.5,0.32275818584190563,3838259,II,α,center
1.5,1.6,0.3572084251556644,2315528,II,α,center
1.6,1.7000000000000002,0.3961539846773723,2018355,II,α,center
1.7000000000000002,1.8,0.39672903198092835,2747844,II,α,center
1.8,1.9000000000000001,0.3746592257200781,3125932,II,α,center
1.9000000000000001,2,0.3875107970520151,4276871,II,α,center
2,2.1,0.3711287770824064,4804837,II,α,center
2.1,2.2,0.35223222084590233,4544272,II,α,center
2.2,2.3000000000000003,0.358065114140831,4170871,II,α,center
2.3000000000000003,2.4000000000000004,0.34796094740294514,3663508,II,α,center
2.4000000000000004,2.5,0.34648382643129605,3260342,II,α,center
2.5,2.6,0.3422471926687422,1921402,II,α,center
2.6,2.7,0.3439924576988344,1730154,II,α,center
2.7,2.8000000000000003,0.3405067553689849,1752964,II,α,center
2.8000000000000003,2.9000000000000004,0.3389086400700228,1872129,II,α,center
2.9000000000000004,3,0.3317509795391767,1931909,II,α,center
3,3.1,0.3257321808885284,1959567,II,α,center
3.1,3.2,0.3057130550257928,1662202,II,α,center
3.2,3.3000000000000003,0.29789820493181457,2016452,II,α,center
3.3000000000000003,3.4000000000000004,0.32658576120489946,2182376,II,α,center
3.4000000000000004,3.5,0.35891565625754035,2475003,II,α,center
3.5,3.6,0.3660716675155384,2728123,II,α,center
3.6,3.7,0.3397981775735467,3255150,II,α,center
3.7,3.8000000000000003,0.32996606664966927,3838550,II,α,center
3.8000000000000003,3.9000000000000004,0.3294223520249858,3739099,II,α,center
3.9000000000000004,4,0.31896198425564387,3670651,II,α,center
4,4.1000000000000005,0.30502717672235163,3247600,II,α,center
4.1000000000000005,4.2,0.29962988706682986,2704448,II,α,center
4.2,4.3,0.293982221572025,2099249,II,α,center
4.3,4.4,0.2955501620430342,1704138,II,α,center
4.4,4.5,0.3034303290538314,1319164,II,α,center
4.5,4.6000000000000005,0.2777475552008579,1039475,II,α,center
4.6000000000000005,4.7,0.25413470657105314,1048943,II,α,center
4.7,4.800000000000001,0.23667666913098723,1225933,II,α,center
4.800000000000001,4.9,0.23176522661276114,1173979,II,α,center
4.9,5,0.21449205601621862,1161931,II,α,center
0,0.1,0.34497526697173503,4481901,II,α&β,arm
0.1,0.2,0.300749051213894,1488797,II,α&β,arm
0.2,0.30000000000000004,0.2615692123011567,1138318,II,α&β,arm
0.30000000000000004,0.4,0.2660825104702106,778675,II,α&β,arm
0.4,0.5,0.2542616752009049,838703,II,α&β,arm
0.5,0.6000000000000001,0.24977355412229413,828931,II,α&β,arm
0.6000000000000001,0.7000000000000001,0.23645319093485007,774370,II,α&β,arm
0.7000000000000001,0.8,0.21436857351288308,829742,II,α&β,arm
0.8,0.9,0.2083210301056914,760366,II,α&β,arm
0.9,1,0.19917586343662882,808098,II,α&β,arm
1,1.1,0.18968115928908988,792679,II,α&β,arm
1.1,1.2000000000000002,0.19806210669163316,654646,II,α&β,arm
1.2000000000000002,1.3,0.19286912263102277,613314,II,α&β,arm
1.3,1.4000000000000001,0.1833817064791456,592813,II,α&β,arm
1.4000000000000001,1.5,0.17871695481934483,565594,II,α&β,arm
1.5,1.6,0.17832295114816957,517690,II,α&β,arm
